Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.443	#f5db56	Kodak	Wratten 15	015
301	0.443	#f5db56	Kodak	Wratten 15	015
302	0.443	#f5db56	Kodak	Wratten 15	015
303	4.899	#f5db56	Kodak	Wratten 15	015
304	10.046	#f5db56	Kodak	Wratten 15	015
305	13.797	#f5db56	Kodak	Wratten 15	015
306	18.026	#f5db56	Kodak	Wratten 15	015
307	21.709	#f5db56	Kodak	Wratten 15	015
308	25.339	#f5db56	Kodak	Wratten 15	015
309	28.216	#f5db56	Kodak	Wratten 15	015
310	30.525	#f5db56	Kodak	Wratten 15	015
311	32.704	#f5db56	Kodak	Wratten 15	015
312	34.444	#f5db56	Kodak	Wratten 15	015
313	35.779	#f5db56	Kodak	Wratten 15	015
314	36.839	#f5db56	Kodak	Wratten 15	015
315	37.363	#f5db56	Kodak	Wratten 15	015
316	37.886	#f5db56	Kodak	Wratten 15	015
317	38.003	#f5db56	Kodak	Wratten 15	015
318	37.852	#f5db56	Kodak	Wratten 15	015
319	37.702	#f5db56	Kodak	Wratten 15	015
320	37.551	#f5db56	Kodak	Wratten 15	015
321	36.706	#f5db56	Kodak	Wratten 15	015
322	35.729	#f5db56	Kodak	Wratten 15	015
323	34.455	#f5db56	Kodak	Wratten 15	015
324	33.034	#f5db56	Kodak	Wratten 15	015
325	31.315	#f5db56	Kodak	Wratten 15	015
326	29.463	#f5db56	Kodak	Wratten 15	015
327	27.525	#f5db56	Kodak	Wratten 15	015
328	25.285	#f5db56	Kodak	Wratten 15	015
329	23.053	#f5db56	Kodak	Wratten 15	015
330	20.52	#f5db56	Kodak	Wratten 15	015
331	17.665	#f5db56	Kodak	Wratten 15	015
332	15.229	#f5db56	Kodak	Wratten 15	015
333	12.286	#f5db56	Kodak	Wratten 15	015
334	8.869	#f5db56	Kodak	Wratten 15	015
335	6.269	#f5db56	Kodak	Wratten 15	015
336	2.897	#f5db56	Kodak	Wratten 15	015
337	0.402	#f5db56	Kodak	Wratten 15	015
338	0.404	#f5db56	Kodak	Wratten 15	015
339	0.405	#f5db56	Kodak	Wratten 15	015
340	0.406	#f5db56	Kodak	Wratten 15	015
341	0.408	#f5db56	Kodak	Wratten 15	015
342	0.409	#f5db56	Kodak	Wratten 15	015
343	0.41	#f5db56	Kodak	Wratten 15	015
344	0.412	#f5db56	Kodak	Wratten 15	015
345	0.413	#f5db56	Kodak	Wratten 15	015
346	0.414	#f5db56	Kodak	Wratten 15	015
347	0.416	#f5db56	Kodak	Wratten 15	015
348	0.417	#f5db56	Kodak	Wratten 15	015
349	0.418	#f5db56	Kodak	Wratten 15	015
350	0.42	#f5db56	Kodak	Wratten 15	015
351	0.421	#f5db56	Kodak	Wratten 15	015
352	0.422	#f5db56	Kodak	Wratten 15	015
353	0.424	#f5db56	Kodak	Wratten 15	015
354	0.425	#f5db56	Kodak	Wratten 15	015
355	0.427	#f5db56	Kodak	Wratten 15	015
356	0.428	#f5db56	Kodak	Wratten 15	015
357	0.429	#f5db56	Kodak	Wratten 15	015
358	0.431	#f5db56	Kodak	Wratten 15	015
359	0.432	#f5db56	Kodak	Wratten 15	015
360	0.433	#f5db56	Kodak	Wratten 15	015
361	0.435	#f5db56	Kodak	Wratten 15	015
362	0.436	#f5db56	Kodak	Wratten 15	015
363	0.437	#f5db56	Kodak	Wratten 15	015
364	0.439	#f5db56	Kodak	Wratten 15	015
365	0.44	#f5db56	Kodak	Wratten 15	015
366	0.441	#f5db56	Kodak	Wratten 15	015
367	0.443	#f5db56	Kodak	Wratten 15	015
368	0.444	#f5db56	Kodak	Wratten 15	015
369	0.446	#f5db56	Kodak	Wratten 15	015
370	0.447	#f5db56	Kodak	Wratten 15	015
371	0.448	#f5db56	Kodak	Wratten 15	015
372	0.45	#f5db56	Kodak	Wratten 15	015
373	0.451	#f5db56	Kodak	Wratten 15	015
374	0.452	#f5db56	Kodak	Wratten 15	015
375	0.454	#f5db56	Kodak	Wratten 15	015
376	0.455	#f5db56	Kodak	Wratten 15	015
