Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	45.385	#d4f97f	Nantong Foric	LB16 Green	LB16
301	46.424	#d4f97f	Nantong Foric	LB16 Green	LB16
302	47.112	#d4f97f	Nantong Foric	LB16 Green	LB16
303	47.828	#d4f97f	Nantong Foric	LB16 Green	LB16
304	48.709	#d4f97f	Nantong Foric	LB16 Green	LB16
305	49.5	#d4f97f	Nantong Foric	LB16 Green	LB16
306	50.226	#d4f97f	Nantong Foric	LB16 Green	LB16
307	51.085	#d4f97f	Nantong Foric	LB16 Green	LB16
308	51.908	#d4f97f	Nantong Foric	LB16 Green	LB16
309	52.703	#d4f97f	Nantong Foric	LB16 Green	LB16
310	53.37	#d4f97f	Nantong Foric	LB16 Green	LB16
311	54.037	#d4f97f	Nantong Foric	LB16 Green	LB16
312	54.868	#d4f97f	Nantong Foric	LB16 Green	LB16
313	55.739	#d4f97f	Nantong Foric	LB16 Green	LB16
314	56.548	#d4f97f	Nantong Foric	LB16 Green	LB16
315	57.356	#d4f97f	Nantong Foric	LB16 Green	LB16
316	58.15	#d4f97f	Nantong Foric	LB16 Green	LB16
317	58.915	#d4f97f	Nantong Foric	LB16 Green	LB16
318	59.654	#d4f97f	Nantong Foric	LB16 Green	LB16
319	60.382	#d4f97f	Nantong Foric	LB16 Green	LB16
320	61.084	#d4f97f	Nantong Foric	LB16 Green	LB16
321	61.745	#d4f97f	Nantong Foric	LB16 Green	LB16
322	62.405	#d4f97f	Nantong Foric	LB16 Green	LB16
323	63.092	#d4f97f	Nantong Foric	LB16 Green	LB16
324	63.825	#d4f97f	Nantong Foric	LB16 Green	LB16
325	64.558	#d4f97f	Nantong Foric	LB16 Green	LB16
326	65.162	#d4f97f	Nantong Foric	LB16 Green	LB16
327	65.668	#d4f97f	Nantong Foric	LB16 Green	LB16
328	66.173	#d4f97f	Nantong Foric	LB16 Green	LB16
329	66.542	#d4f97f	Nantong Foric	LB16 Green	LB16
330	66.87	#d4f97f	Nantong Foric	LB16 Green	LB16
331	67.199	#d4f97f	Nantong Foric	LB16 Green	LB16
332	67.527	#d4f97f	Nantong Foric	LB16 Green	LB16
333	67.75	#d4f97f	Nantong Foric	LB16 Green	LB16
334	67.895	#d4f97f	Nantong Foric	LB16 Green	LB16
335	68.04	#d4f97f	Nantong Foric	LB16 Green	LB16
336	68.186	#d4f97f	Nantong Foric	LB16 Green	LB16
337	68.331	#d4f97f	Nantong Foric	LB16 Green	LB16
338	68.476	#d4f97f	Nantong Foric	LB16 Green	LB16
339	68.54	#d4f97f	Nantong Foric	LB16 Green	LB16
340	68.603	#d4f97f	Nantong Foric	LB16 Green	LB16
341	68.666	#d4f97f	Nantong Foric	LB16 Green	LB16
342	68.73	#d4f97f	Nantong Foric	LB16 Green	LB16
343	68.793	#d4f97f	Nantong Foric	LB16 Green	LB16
344	68.815	#d4f97f	Nantong Foric	LB16 Green	LB16
345	68.777	#d4f97f	Nantong Foric	LB16 Green	LB16
346	68.739	#d4f97f	Nantong Foric	LB16 Green	LB16
347	68.701	#d4f97f	Nantong Foric	LB16 Green	LB16
348	68.663	#d4f97f	Nantong Foric	LB16 Green	LB16
349	68.626	#d4f97f	Nantong Foric	LB16 Green	LB16
350	68.505	#d4f97f	Nantong Foric	LB16 Green	LB16
351	68.365	#d4f97f	Nantong Foric	LB16 Green	LB16
352	68.226	#d4f97f	Nantong Foric	LB16 Green	LB16
353	68.086	#d4f97f	Nantong Foric	LB16 Green	LB16
354	67.946	#d4f97f	Nantong Foric	LB16 Green	LB16
355	67.705	#d4f97f	Nantong Foric	LB16 Green	LB16
356	67.456	#d4f97f	Nantong Foric	LB16 Green	LB16
357	67.207	#d4f97f	Nantong Foric	LB16 Green	LB16
358	66.89	#d4f97f	Nantong Foric	LB16 Green	LB16
359	66.486	#d4f97f	Nantong Foric	LB16 Green	LB16
360	66.081	#d4f97f	Nantong Foric	LB16 Green	LB16
361	65.564	#d4f97f	Nantong Foric	LB16 Green	LB16
362	64.983	#d4f97f	Nantong Foric	LB16 Green	LB16
363	64.402	#d4f97f	Nantong Foric	LB16 Green	LB16
364	63.555	#d4f97f	Nantong Foric	LB16 Green	LB16
365	62.717	#d4f97f	Nantong Foric	LB16 Green	LB16
366	62.091	#d4f97f	Nantong Foric	LB16 Green	LB16
367	61.464	#d4f97f	Nantong Foric	LB16 Green	LB16
368	60.676	#d4f97f	Nantong Foric	LB16 Green	LB16
369	59.88	#d4f97f	Nantong Foric	LB16 Green	LB16
370	59.122	#d4f97f	Nantong Foric	LB16 Green	LB16
371	58.358	#d4f97f	Nantong Foric	LB16 Green	LB16
372	57.609	#d4f97f	Nantong Foric	LB16 Green	LB16
373	56.914	#d4f97f	Nantong Foric	LB16 Green	LB16
374	56.219	#d4f97f	Nantong Foric	LB16 Green	LB16
375	55.524	#d4f97f	Nantong Foric	LB16 Green	LB16
376	54.772	#d4f97f	Nantong Foric	LB16 Green	LB16
377	53.963	#d4f97f	Nantong Foric	LB16 Green	LB16
378	53.199	#d4f97f	Nantong Foric	LB16 Green	LB16
379	52.416	#d4f97f	Nantong Foric	LB16 Green	LB16
380	51.608	#d4f97f	Nantong Foric	LB16 Green	LB16
381	50.799	#d4f97f	Nantong Foric	LB16 Green	LB16
382	50.06	#d4f97f	Nantong Foric	LB16 Green	LB16
383	49.309	#d4f97f	Nantong Foric	LB16 Green	LB16
384	48.449	#d4f97f	Nantong Foric	LB16 Green	LB16
385	47.68	#d4f97f	Nantong Foric	LB16 Green	LB16
386	46.922	#d4f97f	Nantong Foric	LB16 Green	LB16
387	46.164	#d4f97f	Nantong Foric	LB16 Green	LB16
388	45.406	#d4f97f	Nantong Foric	LB16 Green	LB16
389	44.612	#d4f97f	Nantong Foric	LB16 Green	LB16
390	43.804	#d4f97f	Nantong Foric	LB16 Green	LB16
391	42.995	#d4f97f	Nantong Foric	LB16 Green	LB16
392	42.186	#d4f97f	Nantong Foric	LB16 Green	LB16
393	41.378	#d4f97f	Nantong Foric	LB16 Green	LB16
394	40.58	#d4f97f	Nantong Foric	LB16 Green	LB16
395	39.873	#d4f97f	Nantong Foric	LB16 Green	LB16
396	39.129	#d4f97f	Nantong Foric	LB16 Green	LB16
397	38.355	#d4f97f	Nantong Foric	LB16 Green	LB16
398	37.546	#d4f97f	Nantong Foric	LB16 Green	LB16
399	36.877	#d4f97f	Nantong Foric	LB16 Green	LB16
400	36.062	#d4f97f	Nantong Foric	LB16 Green	LB16
401	35.127	#d4f97f	Nantong Foric	LB16 Green	LB16
402	34.369	#d4f97f	Nantong Foric	LB16 Green	LB16
403	33.574	#d4f97f	Nantong Foric	LB16 Green	LB16
404	32.779	#d4f97f	Nantong Foric	LB16 Green	LB16
405	32.014	#d4f97f	Nantong Foric	LB16 Green	LB16
406	31.298	#d4f97f	Nantong Foric	LB16 Green	LB16
407	30.603	#d4f97f	Nantong Foric	LB16 Green	LB16
408	29.813	#d4f97f	Nantong Foric	LB16 Green	LB16
409	29.054	#d4f97f	Nantong Foric	LB16 Green	LB16
410	28.359	#d4f97f	Nantong Foric	LB16 Green	LB16
411	27.624	#d4f97f	Nantong Foric	LB16 Green	LB16
412	26.858	#d4f97f	Nantong Foric	LB16 Green	LB16
413	26.18	#d4f97f	Nantong Foric	LB16 Green	LB16
414	25.506	#d4f97f	Nantong Foric	LB16 Green	LB16
415	24.918	#d4f97f	Nantong Foric	LB16 Green	LB16
416	24.345	#d4f97f	Nantong Foric	LB16 Green	LB16
417	23.747	#d4f97f	Nantong Foric	LB16 Green	LB16
418	23.141	#d4f97f	Nantong Foric	LB16 Green	LB16
419	22.534	#d4f97f	Nantong Foric	LB16 Green	LB16
420	21.839	#d4f97f	Nantong Foric	LB16 Green	LB16
421	21.141	#d4f97f	Nantong Foric	LB16 Green	LB16
422	20.429	#d4f97f	Nantong Foric	LB16 Green	LB16
423	19.696	#d4f97f	Nantong Foric	LB16 Green	LB16
424	19.071	#d4f97f	Nantong Foric	LB16 Green	LB16
425	18.538	#d4f97f	Nantong Foric	LB16 Green	LB16
426	18.005	#d4f97f	Nantong Foric	LB16 Green	LB16
427	17.4	#d4f97f	Nantong Foric	LB16 Green	LB16
428	16.793	#d4f97f	Nantong Foric	LB16 Green	LB16
429	16.192	#d4f97f	Nantong Foric	LB16 Green	LB16
430	15.61	#d4f97f	Nantong Foric	LB16 Green	LB16
431	15.029	#d4f97f	Nantong Foric	LB16 Green	LB16
432	14.477	#d4f97f	Nantong Foric	LB16 Green	LB16
433	13.972	#d4f97f	Nantong Foric	LB16 Green	LB16
434	13.467	#d4f97f	Nantong Foric	LB16 Green	LB16
435	12.991	#d4f97f	Nantong Foric	LB16 Green	LB16
436	12.536	#d4f97f	Nantong Foric	LB16 Green	LB16
437	12.081	#d4f97f	Nantong Foric	LB16 Green	LB16
438	11.726	#d4f97f	Nantong Foric	LB16 Green	LB16
439	11.396	#d4f97f	Nantong Foric	LB16 Green	LB16
440	11.066	#d4f97f	Nantong Foric	LB16 Green	LB16
441	10.779	#d4f97f	Nantong Foric	LB16 Green	LB16
442	10.589	#d4f97f	Nantong Foric	LB16 Green	LB16
443	10.399	#d4f97f	Nantong Foric	LB16 Green	LB16
444	10.209	#d4f97f	Nantong Foric	LB16 Green	LB16
445	10.019	#d4f97f	Nantong Foric	LB16 Green	LB16
446	9.916	#d4f97f	Nantong Foric	LB16 Green	LB16
447	9.935	#d4f97f	Nantong Foric	LB16 Green	LB16
448	9.954	#d4f97f	Nantong Foric	LB16 Green	LB16
449	9.973	#d4f97f	Nantong Foric	LB16 Green	LB16
450	9.992	#d4f97f	Nantong Foric	LB16 Green	LB16
451	10.011	#d4f97f	Nantong Foric	LB16 Green	LB16
452	10.15	#d4f97f	Nantong Foric	LB16 Green	LB16
453	10.314	#d4f97f	Nantong Foric	LB16 Green	LB16
454	10.479	#d4f97f	Nantong Foric	LB16 Green	LB16
455	10.643	#d4f97f	Nantong Foric	LB16 Green	LB16
456	10.807	#d4f97f	Nantong Foric	LB16 Green	LB16
457	10.995	#d4f97f	Nantong Foric	LB16 Green	LB16
458	11.255	#d4f97f	Nantong Foric	LB16 Green	LB16
459	11.514	#d4f97f	Nantong Foric	LB16 Green	LB16
460	11.774	#d4f97f	Nantong Foric	LB16 Green	LB16
461	12.034	#d4f97f	Nantong Foric	LB16 Green	LB16
462	12.295	#d4f97f	Nantong Foric	LB16 Green	LB16
463	12.558	#d4f97f	Nantong Foric	LB16 Green	LB16
464	12.821	#d4f97f	Nantong Foric	LB16 Green	LB16
465	13.084	#d4f97f	Nantong Foric	LB16 Green	LB16
466	13.468	#d4f97f	Nantong Foric	LB16 Green	LB16
467	13.873	#d4f97f	Nantong Foric	LB16 Green	LB16
468	14.28	#d4f97f	Nantong Foric	LB16 Green	LB16
469	14.735	#d4f97f	Nantong Foric	LB16 Green	LB16
470	15.19	#d4f97f	Nantong Foric	LB16 Green	LB16
471	15.679	#d4f97f	Nantong Foric	LB16 Green	LB16
472	16.26	#d4f97f	Nantong Foric	LB16 Green	LB16
473	16.841	#d4f97f	Nantong Foric	LB16 Green	LB16
474	17.408	#d4f97f	Nantong Foric	LB16 Green	LB16
475	17.96	#d4f97f	Nantong Foric	LB16 Green	LB16
476	18.511	#d4f97f	Nantong Foric	LB16 Green	LB16
477	19.43	#d4f97f	Nantong Foric	LB16 Green	LB16
478	20.258	#d4f97f	Nantong Foric	LB16 Green	LB16
479	20.773	#d4f97f	Nantong Foric	LB16 Green	LB16
480	21.287	#d4f97f	Nantong Foric	LB16 Green	LB16
481	22.067	#d4f97f	Nantong Foric	LB16 Green	LB16
482	22.936	#d4f97f	Nantong Foric	LB16 Green	LB16
483	23.695	#d4f97f	Nantong Foric	LB16 Green	LB16
484	24.488	#d4f97f	Nantong Foric	LB16 Green	LB16
485	25.312	#d4f97f	Nantong Foric	LB16 Green	LB16
486	26.171	#d4f97f	Nantong Foric	LB16 Green	LB16
487	26.985	#d4f97f	Nantong Foric	LB16 Green	LB16
488	27.819	#d4f97f	Nantong Foric	LB16 Green	LB16
489	28.684	#d4f97f	Nantong Foric	LB16 Green	LB16
490	29.593	#d4f97f	Nantong Foric	LB16 Green	LB16
491	30.503	#d4f97f	Nantong Foric	LB16 Green	LB16
492	31.413	#d4f97f	Nantong Foric	LB16 Green	LB16
493	32.322	#d4f97f	Nantong Foric	LB16 Green	LB16
494	33.186	#d4f97f	Nantong Foric	LB16 Green	LB16
495	34.045	#d4f97f	Nantong Foric	LB16 Green	LB16
496	34.91	#d4f97f	Nantong Foric	LB16 Green	LB16
497	35.82	#d4f97f	Nantong Foric	LB16 Green	LB16
498	36.73	#d4f97f	Nantong Foric	LB16 Green	LB16
499	37.69	#d4f97f	Nantong Foric	LB16 Green	LB16
500	38.751	#d4f97f	Nantong Foric	LB16 Green	LB16
501	39.624	#d4f97f	Nantong Foric	LB16 Green	LB16
502	40.456	#d4f97f	Nantong Foric	LB16 Green	LB16
503	41.279	#d4f97f	Nantong Foric	LB16 Green	LB16
504	42.188	#d4f97f	Nantong Foric	LB16 Green	LB16
505	43.098	#d4f97f	Nantong Foric	LB16 Green	LB16
506	43.99	#d4f97f	Nantong Foric	LB16 Green	LB16
507	44.849	#d4f97f	Nantong Foric	LB16 Green	LB16
508	45.661	#d4f97f	Nantong Foric	LB16 Green	LB16
509	46.469	#d4f97f	Nantong Foric	LB16 Green	LB16
510	47.286	#d4f97f	Nantong Foric	LB16 Green	LB16
511	48.145	#d4f97f	Nantong Foric	LB16 Green	LB16
512	49.032	#d4f97f	Nantong Foric	LB16 Green	LB16
513	49.898	#d4f97f	Nantong Foric	LB16 Green	LB16
514	50.569	#d4f97f	Nantong Foric	LB16 Green	LB16
515	51.24	#d4f97f	Nantong Foric	LB16 Green	LB16
516	51.932	#d4f97f	Nantong Foric	LB16 Green	LB16
517	52.639	#d4f97f	Nantong Foric	LB16 Green	LB16
518	53.347	#d4f97f	Nantong Foric	LB16 Green	LB16
519	54.181	#d4f97f	Nantong Foric	LB16 Green	LB16
520	54.991	#d4f97f	Nantong Foric	LB16 Green	LB16
521	55.659	#d4f97f	Nantong Foric	LB16 Green	LB16
522	56.326	#d4f97f	Nantong Foric	LB16 Green	LB16
523	57.167	#d4f97f	Nantong Foric	LB16 Green	LB16
524	58.025	#d4f97f	Nantong Foric	LB16 Green	LB16
525	58.783	#d4f97f	Nantong Foric	LB16 Green	LB16
526	59.581	#d4f97f	Nantong Foric	LB16 Green	LB16
527	60.39	#d4f97f	Nantong Foric	LB16 Green	LB16
528	61.198	#d4f97f	Nantong Foric	LB16 Green	LB16
