Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	64.433	#f7eea9	Tangsinuo	QB3	QB3
301	65.886	#f7eea9	Tangsinuo	QB3	QB3
302	67.274	#f7eea9	Tangsinuo	QB3	QB3
303	68.545	#f7eea9	Tangsinuo	QB3	QB3
304	69.725	#f7eea9	Tangsinuo	QB3	QB3
305	71.179	#f7eea9	Tangsinuo	QB3	QB3
306	72.274	#f7eea9	Tangsinuo	QB3	QB3
307	73.564	#f7eea9	Tangsinuo	QB3	QB3
308	74.837	#f7eea9	Tangsinuo	QB3	QB3
309	75.771	#f7eea9	Tangsinuo	QB3	QB3
310	76.706	#f7eea9	Tangsinuo	QB3	QB3
311	77.727	#f7eea9	Tangsinuo	QB3	QB3
312	78.705	#f7eea9	Tangsinuo	QB3	QB3
313	79.64	#f7eea9	Tangsinuo	QB3	QB3
314	80.559	#f7eea9	Tangsinuo	QB3	QB3
315	81.234	#f7eea9	Tangsinuo	QB3	QB3
316	81.909	#f7eea9	Tangsinuo	QB3	QB3
317	82.499	#f7eea9	Tangsinuo	QB3	QB3
318	83.019	#f7eea9	Tangsinuo	QB3	QB3
319	83.543	#f7eea9	Tangsinuo	QB3	QB3
320	84.27	#f7eea9	Tangsinuo	QB3	QB3
321	84.758	#f7eea9	Tangsinuo	QB3	QB3
322	85.173	#f7eea9	Tangsinuo	QB3	QB3
323	85.546	#f7eea9	Tangsinuo	QB3	QB3
324	85.795	#f7eea9	Tangsinuo	QB3	QB3
325	86.045	#f7eea9	Tangsinuo	QB3	QB3
326	86.294	#f7eea9	Tangsinuo	QB3	QB3
327	86.543	#f7eea9	Tangsinuo	QB3	QB3
328	86.792	#f7eea9	Tangsinuo	QB3	QB3
329	87.041	#f7eea9	Tangsinuo	QB3	QB3
330	87.291	#f7eea9	Tangsinuo	QB3	QB3
331	87.54	#f7eea9	Tangsinuo	QB3	QB3
332	87.789	#f7eea9	Tangsinuo	QB3	QB3
333	88.038	#f7eea9	Tangsinuo	QB3	QB3
334	88.287	#f7eea9	Tangsinuo	QB3	QB3
335	88.537	#f7eea9	Tangsinuo	QB3	QB3
336	88.651	#f7eea9	Tangsinuo	QB3	QB3
337	88.699	#f7eea9	Tangsinuo	QB3	QB3
338	88.747	#f7eea9	Tangsinuo	QB3	QB3
339	88.796	#f7eea9	Tangsinuo	QB3	QB3
340	88.844	#f7eea9	Tangsinuo	QB3	QB3
341	88.893	#f7eea9	Tangsinuo	QB3	QB3
342	88.941	#f7eea9	Tangsinuo	QB3	QB3
343	88.99	#f7eea9	Tangsinuo	QB3	QB3
344	89.038	#f7eea9	Tangsinuo	QB3	QB3
345	89.087	#f7eea9	Tangsinuo	QB3	QB3
346	89.135	#f7eea9	Tangsinuo	QB3	QB3
347	89.184	#f7eea9	Tangsinuo	QB3	QB3
348	89.234	#f7eea9	Tangsinuo	QB3	QB3
349	89.303	#f7eea9	Tangsinuo	QB3	QB3
350	89.372	#f7eea9	Tangsinuo	QB3	QB3
351	89.428	#f7eea9	Tangsinuo	QB3	QB3
352	89.474	#f7eea9	Tangsinuo	QB3	QB3
353	89.521	#f7eea9	Tangsinuo	QB3	QB3
354	89.567	#f7eea9	Tangsinuo	QB3	QB3
355	89.613	#f7eea9	Tangsinuo	QB3	QB3
356	89.659	#f7eea9	Tangsinuo	QB3	QB3
357	89.663	#f7eea9	Tangsinuo	QB3	QB3
358	89.663	#f7eea9	Tangsinuo	QB3	QB3
359	89.663	#f7eea9	Tangsinuo	QB3	QB3
360	89.663	#f7eea9	Tangsinuo	QB3	QB3
361	89.663	#f7eea9	Tangsinuo	QB3	QB3
362	89.663	#f7eea9	Tangsinuo	QB3	QB3
363	89.663	#f7eea9	Tangsinuo	QB3	QB3
364	89.663	#f7eea9	Tangsinuo	QB3	QB3
365	89.663	#f7eea9	Tangsinuo	QB3	QB3
366	89.623	#f7eea9	Tangsinuo	QB3	QB3
367	89.54	#f7eea9	Tangsinuo	QB3	QB3
368	89.456	#f7eea9	Tangsinuo	QB3	QB3
369	89.373	#f7eea9	Tangsinuo	QB3	QB3
370	89.29	#f7eea9	Tangsinuo	QB3	QB3
371	89.207	#f7eea9	Tangsinuo	QB3	QB3
372	89.127	#f7eea9	Tangsinuo	QB3	QB3
373	89.058	#f7eea9	Tangsinuo	QB3	QB3
374	88.988	#f7eea9	Tangsinuo	QB3	QB3
375	88.919	#f7eea9	Tangsinuo	QB3	QB3
376	88.854	#f7eea9	Tangsinuo	QB3	QB3
377	88.795	#f7eea9	Tangsinuo	QB3	QB3
378	88.736	#f7eea9	Tangsinuo	QB3	QB3
379	88.676	#f7eea9	Tangsinuo	QB3	QB3
380	88.616	#f7eea9	Tangsinuo	QB3	QB3
381	88.507	#f7eea9	Tangsinuo	QB3	QB3
382	88.397	#f7eea9	Tangsinuo	QB3	QB3
383	88.288	#f7eea9	Tangsinuo	QB3	QB3
384	88.179	#f7eea9	Tangsinuo	QB3	QB3
385	88.069	#f7eea9	Tangsinuo	QB3	QB3
386	87.96	#f7eea9	Tangsinuo	QB3	QB3
387	87.851	#f7eea9	Tangsinuo	QB3	QB3
388	87.742	#f7eea9	Tangsinuo	QB3	QB3
389	87.632	#f7eea9	Tangsinuo	QB3	QB3
390	87.523	#f7eea9	Tangsinuo	QB3	QB3
391	87.414	#f7eea9	Tangsinuo	QB3	QB3
392	87.291	#f7eea9	Tangsinuo	QB3	QB3
393	86.985	#f7eea9	Tangsinuo	QB3	QB3
394	86.679	#f7eea9	Tangsinuo	QB3	QB3
395	86.373	#f7eea9	Tangsinuo	QB3	QB3
396	86.067	#f7eea9	Tangsinuo	QB3	QB3
397	85.761	#f7eea9	Tangsinuo	QB3	QB3
398	85.455	#f7eea9	Tangsinuo	QB3	QB3
399	85.149	#f7eea9	Tangsinuo	QB3	QB3
400	84.843	#f7eea9	Tangsinuo	QB3	QB3
401	84.537	#f7eea9	Tangsinuo	QB3	QB3
402	84.231	#f7eea9	Tangsinuo	QB3	QB3
403	83.925	#f7eea9	Tangsinuo	QB3	QB3
404	83.614	#f7eea9	Tangsinuo	QB3	QB3
405	83.268	#f7eea9	Tangsinuo	QB3	QB3
406	82.922	#f7eea9	Tangsinuo	QB3	QB3
407	82.575	#f7eea9	Tangsinuo	QB3	QB3
408	82.206	#f7eea9	Tangsinuo	QB3	QB3
409	81.79	#f7eea9	Tangsinuo	QB3	QB3
410	81.375	#f7eea9	Tangsinuo	QB3	QB3
411	80.96	#f7eea9	Tangsinuo	QB3	QB3
412	80.544	#f7eea9	Tangsinuo	QB3	QB3
413	80.042	#f7eea9	Tangsinuo	QB3	QB3
414	79.534	#f7eea9	Tangsinuo	QB3	QB3
415	79.027	#f7eea9	Tangsinuo	QB3	QB3
416	78.519	#f7eea9	Tangsinuo	QB3	QB3
417	78.011	#f7eea9	Tangsinuo	QB3	QB3
418	77.491	#f7eea9	Tangsinuo	QB3	QB3
419	76.937	#f7eea9	Tangsinuo	QB3	QB3
420	76.397	#f7eea9	Tangsinuo	QB3	QB3
